tweet_id,author_id,inbound,created_at,in_response_to_tweet_id,in_response_to_tweet_text,text,response_tweet_id
64,ChipotleTweets,False,2017-10-31 22:14:28+00:00,66,I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn,I still think you look great! -Becky,65
68,ChipotleTweets,False,2017-10-31 22:14:00+00:00,69,messed up today and didn’t give me my $3 burrito although I was dressed up 😭,I'm so sorry about that. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky,
70,ChipotleTweets,False,2017-10-31 22:13:29+00:00,71,hey  wanna come to Mammoth. I'll at least eat there once a week i promise,Hopefully we'll get there at some point! -Becky,
73,ChipotleTweets,False,2017-10-31 22:12:39+00:00,74,"I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!",Guac on! I'm happy it was such a great experience. -Becky,
75,ChipotleTweets,False,2017-10-31 20:37:31+00:00,76,When you're the only one in costume #boorito,It's because you're smart. -Tara,74
77,ChipotleTweets,False,2017-10-31 22:11:38+00:00,78,no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct,That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky,
79,ChipotleTweets,False,2017-10-31 22:11:12+00:00,80,"If you get queso or quac on you're bowl, its extra?",Nope! Still just the $3. -Becky,
152,ChipotleTweets,False,2017-10-31 22:10:33+00:00,153,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at  👻 I got mine earlier, did you?","I mean, Boorito is basically the adult version of Halloween... -Becky",
154,ChipotleTweets,False,2017-10-31 22:09:00+00:00,155,Thank you  for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife,I'm so glad we could help. Who did you work with? I'd like to share the praise. -Becky,
158,ChipotleTweets,False,2017-10-31 22:08:00+00:00,159,"Btw  giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones",All of our U.S. locations are participating! -Becky,
